Frequency (Hz)	Level (dB)
750.970459	-59.208649
753.662109	-57.207348
756.353760	-64.455948
759.045410	-64.501167
761.737061	-71.991028
764.428711	-73.630119
767.120361	-70.101593
769.812012	-64.533066
772.503662	-58.895676
775.195312	-58.764507
777.886963	-64.971069
780.578613	-67.809357
783.270264	-70.365097
785.961914	-66.890533
788.653564	-65.997391
791.345215	-61.785896
794.036865	-55.304008
796.728516	-56.427368
799.420166	-64.239594
802.111816	-66.200424
804.803467	-67.955307
807.495117	-62.648163
810.186768	-66.586121
812.878418	-64.603180
815.570068	-58.374245
818.261719	-58.231773
820.953369	-61.732353
823.645020	-67.780289
826.336670	-59.618401
829.028320	-67.099442
831.719971	-53.903820
834.411621	-53.019131
837.103271	-57.218876
839.794922	-55.263161
842.486572	-57.858280
845.178223	-65.503464
847.869873	-63.395844
850.561523	-65.628708
853.253174	-73.510170
855.944824	-68.910149
858.636475	-71.376427
861.328125	-64.689964
864.019775	-66.046104
866.711426	-65.495842
869.403076	-72.258423
872.094727	-72.908966
874.786377	-66.677940
877.478027	-70.545822
880.169678	-65.127541
882.861328	-67.609367
885.552979	-66.569481
888.244629	-69.109238
890.936279	-70.556305
893.627930	-68.150513
896.319580	-67.639168
899.011230	-64.727493
901.702881	-62.645935
904.394531	-65.000671
907.086182	-76.045288
909.777832	-64.908836
912.469482	-68.641708
915.161133	-66.484283
917.852783	-63.691895
920.544434	-61.967148
923.236084	-60.230389
925.927734	-61.257351
928.619385	-71.000114
931.311035	-55.464069
934.002686	-55.910919
936.694336	-66.753250
939.385986	-74.069901
942.077637	-65.004349
944.769287	-59.294975
947.460938	-59.789017
950.152588	-67.973824
952.844238	-69.241440
955.535889	-75.802864
958.227539	-69.678719
960.919189	-62.826721
963.610840	-60.205486
966.302490	-57.057446
968.994141	-58.824894
971.685791	-65.597252
974.377441	-69.771034
977.069092	-68.516197
979.760742	-68.030762
982.452393	-72.610451
985.144043	-65.426376
987.835693	-60.273106
990.527344	-60.241222
993.218994	-65.759689
995.910645	-68.047279
998.602295	-59.899223
1001.293945	-61.761532
1003.985596	-71.323555
1006.677246	-63.966316
1009.368896	-62.106987
1012.060547	-64.008392
1014.752197	-65.680428
1017.443848	-60.981571
1020.135498	-61.678867
1022.827148	-64.029152
1025.518799	-65.509521
1028.210449	-60.446709
1030.902100	-57.135479
1033.593750	-58.575539
1036.285400	-64.025818
1038.977051	-61.187805
1041.668701	-62.589798
1044.360352	-72.067558
1047.052002	-68.614098
1049.743652	-65.129311
1052.435303	-59.987919
1055.126953	-53.598480
1057.818604	-61.742104
1060.510254	-62.750408
1063.201904	-63.284882
1065.893555	-64.365303
1068.585205	-67.963516
1071.276855	-62.560093
1073.968506	-59.902294
1076.660156	-59.958740
1079.351807	-63.675125
1082.043457	-68.808983
1084.735107	-63.180241
1087.426758	-62.477863
1090.118408	-65.400383
1092.810059	-65.091957
1095.501709	-62.586823
1098.193359	-60.807426
1100.885010	-59.244442
1103.576660	-62.125900
1106.268311	-64.667267
1108.959961	-63.996029
1111.651611	-60.930145
1114.343262	-57.356998
1117.034912	-57.544147
1119.726562	-57.180016
1122.418213	-58.694572
1125.109863	-60.649338
1127.801514	-69.671234
1130.493164	-58.550392
1133.184814	-53.472919
1135.876465	-54.981014
